TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,33091,33091,1,Lelievlei Nature Reserve,Lelievlei Nature Reserve,Forest Nature Reserve,Forest Nature Reserve,National,Not Reported,Not Applicable,0,0,0,10.8472719584,10.8472720907716,Not Applicable,0,Designated,1986,Federal or national ministry or agency,State,South African National Parks,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555570827,555570827,1,Mooiplaas Private Nature Reserve,Mooiplaas Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,2.36144818787,2.36145422676924,Not Applicable,0,Designated,1994,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555570841,555570841,1,Klipfontein Private Nature Reserve,Klipfontein Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,10.7943155553,10.7944842594591,Not Applicable,0,Designated,1989,Individual landowners,Individual landowners,Private Owners,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555570842,555570842,1,Kleyn Kloof Private Nature Reserve,Kleyn Kloof Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,0.273772665997,0.273775024866876,Not Applicable,0,Designated,1990,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563854,555563854,1,Leon Taljaard Nature Reserve,Leon Taljaard Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,8.76153711726,8.7611386151141,Not Applicable,0,Designated,1969,Federal or national ministry or agency,State,Naledi Municipality,Not Reported,State Verified,1840,ZA-NW,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555563620,555563620,1,Buffalo Springs Private Nature Reserve,Buffalo Springs Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,27.8208899205,27.8209674630375,Not Applicable,0,Designated,1959,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-LP,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555570832,555570832,1,Lake Pleasant Private Nature Reserve Section No.5,Lake Pleasant Private Nature Reserve Section No.5,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,2,0.0548178100742,0.0548177986103693,0.0548178100742,0.0548177986103693,Not Reported,0,Designated,2003,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555570833,555570833,1,Lake Pleasant Private Nature Reserve Section No.4,Lake Pleasant Private Nature Reserve Section No.4,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,2,0.0554247961672,0.0554249672840061,0.0554247961672,0.0554249672840061,Not Reported,0,Designated,2003,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555570666,555570666,1,Sandies Glen Private Nature Reserve,Sandies Glen Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,1.32201217764,1.32202971887196,Not Applicable,0,Designated,1997,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
Polygon,555570667,555570667,1,Sangebethu Private Nature Reserve,Sangebethu Private Nature Reserve,Nature Reserve,Nature Reserve,National,Not Reported,Not Applicable,0,0,0,18.7463670728,18.747128468992,Not Applicable,0,Designated,1995,Individual landowners,Individual landowners,Not Reported,Not Reported,State Verified,1840,ZA-WC,ZAF,ZAF,Not Applicable,Not Applicable
